坐标系统
准厌氧生物相
准同生变形构造
准确度
准连续
准矿物（非晶质矿物）
准变质作用
锥火山
锥
追加
转折端几何形态
转折端
转速
转盘式钻机
转换压缩逆断层
转换挤压双重构造
转换极性
转换构造
转换断层边界
转换带
转化因素
转化阶段
转变双晶
转氨作用
专有软件
专有矿物岩石
专性地下水依赖型生态系统
筑竹寺期
铸型化石
铸模孔
柱状图设计
柱状图绘制
柱状解理
柱状节理构造
柱状集合体
柱状
柱塞泵
柱沸石
柱
注水试验
注水井
注水泵
助溶剂法
主坐标分析
主走滑断层
主要元素
主要硬件
主要应用
主要烃源岩岩石相
主要烃源岩层位
主要烃源岩层数
主要生烃时间
主要圈闭形成时间
主要区域盖层层位
主要排烃高峰时代
主要勘探目的层面积/单元面积
主要构造运动时间
主要封闭机制
主要储层层位
主要参数
主要步骤
主流文件格式
主量元素
主机
主峰碳数
主峰碳
主动裂谷作用
主动大陆转换断层
主动拆离断层
主导传热方式
主存储器
主成分分析
烛煤
逐步降深测试
珠蚌属
侏罗系
侏罗纪
皱纹线理
宙
帚虫动物门
轴向像移面
轴双面;榍
轴面劈理
轴面产状
轴面;平行双面
轴率;轴单位比
轴角
轴滑移
轴次
洲际性地质图
周口店期
州省
州
重质石油
重稀土元素
重碳钾石
重十字石
重庆市地质图
重馏分
重力资料解释
重力正演
重力异常转换
重力异常计算
重力异常
重力仪
重力位能转化热
重力位
重力图件
重力梯度测量
重力随时间变化
重力随空间变化
重力水
重力数据整理与异常获得
重力数据推断
重力数据处理
重力疏干
重力势
重力勘探的应用
重力勘探
重力加速度单位
重力加速度
重力基点网平差
重力基点网
重力基点
重力含水量
重力给水度
重力反演
重力等位面
重力成因
重力测量
重力变化
重力
重晶石-黄铁矿结核
重晶石
重结晶作用-1
重结晶作用
重结晶结构
重结晶
重建型转变
重核裂变
重非水相液体
重叠
重磁数据处理
重磁数据
重磁三维反演
种系渐变论
种系带
种群名称
种-面积关系
种
钟状火山
钟形
钟乳状集合体
终止时间
中子照射
中子孔隙度测井
中子活化分析
中侏罗统
中侏罗世
中值孔道（喉）半径
中长岩
中长石
中粘油
中元古界
中元古代
中央处理器
中亚北部及邻近地区构造图
中性岩和堇青石-斜方闪石片麻岩
中性岩
中性水
中性关系
中性氨基酸
中性Cl-Na型地热水
中性
中型油藏
中新统
中新世
中新生代裂陷盆地、坳陷盆地边缘构造型和第三系缓坡构造型
中新生代断陷或坳陷盆地长垣型、潜山型和断陷中央背斜构造型
中心式喷发
中温热液
中温榴辉岩
中温地热资源
中纬度省
中纬度区
中条纹长石紫苏花岗岩
中条纹长石
中太古代
中碎裂岩
中生界
中生代应用
中生代凹陷
中生代
中渗透油藏
中扇（扇中段）
中砂
中色体
中三叠统
中三叠世
中期
中泥盆统
中泥盆世
中密西西比统
中糜棱岩
中陆棚相
中陆棚
中馏分
中粒
中砾
中孔隙度
中间地下水流系统
中间沉积
中间层校正
中间半深海
中级晶族
中级
中缓坡
中寒武世
中国中志留世
中国中元古代
中国中三叠世
中国中泥盆世
中国中二叠世
中国中奥陶世
中国新元古代
中国下志留世
中国下石炭世
中国下三叠世
中国下泥盆世
中国下古生代
中国下二叠世
中国下奥陶世
中国上石炭世
中国上三叠世
中国上泥盆世
中国上古生代
中国上奥陶世
中国-蒙古-日本省
中国陆相中侏罗世
中国陆相中新世
中国陆相中三叠世
中国陆相中二叠世
中国陆相下侏罗世
中国陆相下石炭世
中国陆相下三叠世
中国陆相下二叠世
中国陆相下白垩世
中国陆相始新世
中国陆相上侏罗世
中国陆相上新世
中国陆相上石炭世
中国陆相上三叠世
中国陆相上二叠世
中国陆相上白垩世
中国陆相区域地质年代单位
中国陆相渐新世
中国陆相古新世
中国陆相更新世
中国黄土更新世
中国寒武纪
中国海相区域地质年代单位
中国国家地质图
中国古元古代
中国-澳大利亚区
中更新统
中更新世
中丰度（天然气资源）
中丰度(天然气资源)
中沸石
中度嗜热微生物
中等烃源岩
中等石油
中等放射性水
中等的
中等1
中等
中大陆地壳
中储量丰度
中宾夕法尼亚统
中比例尺
中奥陶统
中奥陶世
中P/T型（中压变质相系）
中、碱性地热水
中、低温水热资源
滞域成种
滞流带及滞流区
滞留沉积
智方统计
致密油气（非常规油气）
致密砂岩
致密储集层
栉水母动物亚门
质子旋进磁力仪
质子导体
质谱仪
质谱分析
质量守恒方程
质量及可靠度
质量含水量
制作专题图
制图软件系统
制图和插图
制定统一格式
志留系
志留纪
酯
指形—漏斗形
指数函数
指示有机质成熟度
指示生物降解程度
指示母质沉积环境来源
指示矿物
指标
纸质版图件
止水
植物甾醇
植物界
植物化石
植物和动物
植物根化石
植物根痕迹
植物
植烷/正十八烷比值
植烷
植被型
植被响应函数
植被生长及分布
直线图解法
直线排状井网
直闪石片岩
直闪石+镁橄榄石+透闪石+绿泥石
直闪石
直硫碳铅石
直流场退磁谱图
直链烷烃
直立褶皱
直立轮藻目
直立键
直拉法
直井
直接盖层
直接点面法
直钙长石
直氟碳钙钇矿
直氟碳钙铈矿
直氟碳钙钕矿
脂碳率
脂链长度
脂类化合物
脂肪族羧酸
脂肪烃
脂肪碳/芳香碳比值
脂肪酸
脂多糖
脂蛋白
肢足介亚目
枝脉蕨
支链淀粉
支出项
支持毛细水
支撑功能
正长岩类
正长岩
正长石
正长球粒霞霓岩
正长花岗岩
正长斑岩
正演模型
正演
正形和负形
正形贝目
正戊烷含量（气体体积百分比）
正态曲线
正式的岩石地层单位
正漂
正钠长斑岩
正模
正离子
正交晶系
正极性
正花状构造
正构烷烃气液色谱图
正构烷烃的分离分析方法
正构烷烃成熟度参数
正构烷烃
正庚烷值正庚烷/（环己烷+2M己烷+1，1DM环戊烷+正庚烷+甲基环己烷）
正钙钠石
正断韧性剪切带
正断层遮挡油气藏
正断层的连接
正断层
正丁烷含量（气体体积百分比）
正处排烃门限
正沉积旋回
正常重力值
正常重力公式
正常重力场
正常式生储盖组合
正常埋藏
正常地层压力
正常地层温度
正常场校正
正层型
整一型不整合面
整一/整一型不整合面
整一/削蚀型不整合面
整体分析
整饰成图
整合侵入体
整合面
整合
蒸汽生长法
蒸汽地
蒸汽爆发
蒸发蒸腾
蒸发岩台地
蒸发岩
蒸发浓缩过程
蒸发和凝结
蒸发
震旦纪
震波折射
振幅-2
振动筛
枕状构造
真空炉阶段加热法
真空击碎法
真菌界
真蕨纲紫萁科
真蕨纲桫椤科
真蕨纲双扇蕨科
真蕨纲马通蕨科
真蕨纲里白科
真蕨纲合囊蕨科
真蕨纲海金沙科
珍珠状构造
珍珠岩
珍珠光泽
珍珠构造
珍珠蚌属
针状集合体
针状
针铁矿
针对对象
蔗糖
浙江省地质图
褶皱组成
褶皱状混合岩
褶皱轴面
褶皱轴迹
褶皱轴
褶皱振幅
褶皱翼部
褶皱型不整合面
褶皱图层
褶皱枢纽线
褶皱紧闭程度
褶皱脊
褶皱核部
褶皱构造
褶皱对称性
褶皱顶点
褶皱低槽
褶皱波长
褶皱
褶劈理
折现率
折射波地震勘探
折射
折劈理
遮挡条件
遮蔽孔
照射参数J值
照片导入野外手图
照片编辑
沼泽性铁矿
沼泽相
沼泽或沼泽环境环境
沼泽或沼泽环境
沼泽沉积体系
沼泽沉积
沼泽
障积岩
障积结构
障壁泻湖
障壁滩
障壁砂坝-泻湖沉积
障壁砂坝
障壁坪
障壁岛海岸线
障壁岛
障碍
掌上机数据到桌面
涨潮三角洲
长轴长度
长周期放射性核素
长英质岩
长英质片岩
长英质片麻岩
长英质麻粒岩
长英质角岩
长英质
长英片岩
长兴期
长兴阶
长石族
长石质方钠霓辉岩
长石片岩
长石片麻岩
长石角闪石斑晶安山岩
长石活度模型
长石辉石斑晶安山岩
长石-4
长石
长身贝亚目
长身贝目
长山期
长期变磁性地层学
长期
长流动系统
长链烯酮
长链烷基苯
长链三环萜烷比值：ETR
长短时记忆神经网络
长度
长程有序
长城纪
樟脑
张性构造样式
张夏期
张扭作用
张扭双重构造
张裂缝
张量场
战略价值-1
战略价值
展性
粘滞剩余磁化强度
粘滞度
粘土质砂
粘土质铝土矿
粘土质胶结
粘土岩类
粘土岩储集层
粘土岩
粘土涂抹作用
粘土矿物类型
粘土矿物含量
粘土矿物产状
粘土矿物
粘土孔隙
粘土或泥质沉积物
粘土粉砂岩
粘土氮同位素
粘土
粘结岩
粘结结构
粘度分类
粘度-1
粘度
窄裂谷系统
窄裂谷
栅格文件格式
栅格数据模型
栅格数据分析
渣状结构
扎布耶石
增粘剂
增益
增温层
增生作用
增生与交代构造
增生楔
增强型地热系统
噪音污染
造山运动
造山系
造山纪
造山带
造山变质作用
造礁生物Reef-buildingorganism
造礁生物
造架生物Coloniesofframe-builders
皂石
皂化作用
藻砂屑
藻平面
藻煤
藻类体
藻类Algae
藻灰结核灰泥岩
早侏罗世
早三叠世
早泥盆世
早寒武世
早古生代
早更新世
早白垩世
早奥陶世
赞岐岩
赞克勒阶
赞克尔期
在线GIS
在地层学中的应用
甾族化合物
甾烷醇
甾烷/藿烷
甾烷
甾类
甾醇酯
甾醇类激素
甾醇
杂质半导体
杂质
杂原子
杂岩
杂食动物：碎屑消费者、食腐消费者
杂食动物
杂基内微孔
杂基内溶孔
杂基-1
杂基
杂多糖
韵律层理
韵律层
运移通道
运移时间
运移路径-1
运移距离
运移方式
运移
运行效率
运算器
运聚史模型
运聚单元刻度区
运聚单元
运河
运动学指标
运动学标志
运动黏度-1
运动理论模型
运动方式
孕甾烷
陨石
云英岩化
云英岩
云斜煌岩
云霞正长岩
云霞黄长煌斑岩
云钛辉岩
云苏闪长岩
云闪花岗岩
云杉粉属
云染状混合岩
云染构造
云母族
云母鱼
云母微晶闪长煌斑岩
云母片岩
云母大理岩
云母
云辉二长岩
云煌岩
晕色
晕彩效应
越流因子
越流系统
越流系数
越流含水层
越流补给
月桂烯
月桂酸
约束点
约化网格
约化晶胞
约翰逊未命名
远震
远源油气聚集区带
远洋碳酸盐岩
远洋-半远洋沉积物Pelagic-hemipelagicsediments
远砂坝
远端变陡缓坡
远超前积
源下成藏区带
源上成藏区带
源内成藏区带
源内不整合面输导供烃
源点
源代码
圆柱状褶皱
圆轴褶皱
圆蚶科
原子荧光光谱
原子吸收光谱
原子结构
原子
原油密度
原油
原岩类型
原岩
原位
原水母纲
原始原油体积系数
原始物质
原始天然气地质储量
原始石油地质储量
原始生态位
原始溶解气油比
原始气柱高度
原始凝析油地质储量
原始晶胞
原始含油高度
原始含油饱和度
原始格子
原始地层压力
原生油气藏聚集区带
原生演替
原生双晶
原生生物界
原生气孔
原生粒内孔
原生粒间孔
原生孔隙度
原生孔隙1
原生孔隙
原生结构磷块岩
原生构造
原生动物
原核生物界
原地岩体
原地浅色体
原地的
原地
垣曲期
元文件
元素组成
元素化学地层学
元素分配地质温压计
元素地球化学
元素半导体
元素
元数据的结构
元古宙
元古宇
阈值
域
预制能源桩
预研究
预探井钻探成功率
预探井成功概率-1
预探井成功概率
预期收益
预处理方法
预处理
预测储量
预白化
郁江期
芋水母亚纲
玉髓温度计
玉米黄质
雨痕
羽状构造
羽轴
羽叶属
羽扇烷
羽扇豆醇
羽鳃纲
宇宙射线剂量率
宇
与岩浆岩相关的变余构造
与结晶习性先关的变质作用
与储集层位置关系分类
与沉积岩相关的变余结构
与沉积岩相关的变余构造
鱼类
诱发地震
诱导效应
右旋体
右行扭动构造样式
黝帘石
黝方岩
黝方响岩
黝方石岩
黝方碧玄岩
有障壁型海岸
有序性
有序无序转变
有序-无序多态性
有序无序
有序结构
有序度
有序
有效铀浓度
有效应力
有效烃源岩体积
有效烃源岩面积-2
有效烃源岩面积-1
有效烃源岩面积/运聚单元的面积
有效烃源岩厚度-2
有效烃源岩厚度-1
有效烃源岩厚度
有效渗透率
有效容积
有效孔隙率
有效孔隙度-2
有效孔隙度-1
有效孔隙度
有效抗挤强度及有效抗内压强度
有效厚度系数
有效厚度
有效导热系数
有效储层预测法
有限单元法
有限差分法
有其他阴离子的钛硅酸盐
有利圈闭分布
有利勘探方向
有理指数定律;整数定律;阿羽依定律
有孔虫类伞藻粒状灰岩
有孔虫
有极分子
有机质转化率
有机质未成熟
有机质生烃作用
有机质类型-1
有机质类型（地球化学特征）
有机质类型
有机质孔隙
有机质过成熟
有机质高成熟
有机质丰度
有机质成熟度-2
有机质成熟度（地球化学特征）
有机质成熟度
有机质成熟
有机显微组分相对含量
有机显微组分分析
有机物质组成
有机碳质量平衡法
有机碳恢复系数
有机孔
有机化合物
有机二氧化碳
有机地球化学
有机地化数据
有机地化方法学
有机氮同位素
有机单体氢同位素
有机成因说
有机成分
有公度调制结构超结构
有沸石水的架状硅酸盐
有颚亚门
有参法
游泳生物
游移底栖生物
游离油相
游离烃量
游离气相
游离气
铀系
铀-钍-铅
铀-钍/氦
铀石
铀-铅
铀浓度
铀空白的同位素组成
铀空白的量
铀空白
铀的衰变常数
铀
油脂
油源条件（成藏条件）
油源对比参数
油页岩（非常规油和气）
油页岩
油田水物理性质
油田水化学性质
油田水分类
油田水
油田名称
油田规模序列法
油田规模
油酸
油水界面原始深度
油水界面
油水过渡带厚度
油水分离
油溶气相
油溶气
油气总资源量
油气资源评价体系
油气资源量
油气资源丰度-1
油气资源丰度
油气资源-2
油气运移规律
油气运移
油气运聚系数
油气预测
油气性质
油气销售价格
油气显示
油气田储量比例系数
油气田储量
油气水动力捕获
油气迁移与聚集
油气苗
油气界面原始深度
油气过渡带厚度
油气二次运移通道
油气地质综合评价
油气地质评价
油气初次运移通道
油气藏分布规律
油气藏的破坏
油气藏的保存
油气保存
油井数
油井产能评价
油储集层渗透率
油层组
油层压力
油层温度
油藏评价
油藏类型分析
油藏规模分布模型
油藏规模分布法
油藏规模
油藏个数
油藏概况
油藏储量
油藏采收率-1
由低镁方解石制成的牡蛎、腕足和三叶虫
优先原则
优势运移方向
优势分异度
优化钻进
用压汞资料表征孔喉分布特征
用色使用原则
用色检验方法
用户撰写的软件
蛹化迹
涌升流（上升补偿流）
永坪期
永久止水
永久磁性
硬柱石榴辉岩相
硬柱石榴辉岩
硬柱石蓝片岩相
硬柱石柯石英榴辉岩
硬柱石
硬质合金钻头
硬脂酸
硬玉石英岩
硬玉+石英（柯石英）+滑石+蓝晶石
硬玉
硬水
硬石膏
硬绿泥石活度模型
硬绿泥石
硬件系统
硬度测定方法
硬度
硬底
映转轴(符号Lsn)
映射法
影像质量
影像处理
影响因素
影响矿物稳定性的因素
影响风化因素
影响范围
影响半径
营养类型
营养结构
营养级
萤石
萤电花岗岩
荧光性
荧光
莺蛤亚目
莺蛤目
莺蛤科
莺蛤超科
英云闪长岩
英云煌斑岩
英辉正长岩
英辉闪长岩
英安岩类
英安岩
英安斑岩
英安安山岩
应用系统
应用生物地理学
应用软件
应用地热学
应用
应堂期
应力值
应变帽
应变
印刷技术印刷图像的光谱测量和色度计算(GB/T19437-2004)
印刷技术印前数据交换CMYK标准彩色图像数据(GB/T18721-2002)
印模化石
印晶体痕与假晶
印痕化石
印度期
印度阶
隐晶质结构
隐晶质集合体
隐晶质
隐晶岩
隐齿亚纲
隐爆角砾岩相
饮用天然矿物泉水（GB8537-2008）
引起重力异常的主要地质因素
银杏目
银杏纲茨康目
银
殷坑期
音响
音频大地电磁法
阴影山体图
阴影
阴离子
阴极发光
因子提取
因子分析
因果生物地理学
翼形亚纲
溢流玄武岩
溢流泉
溢出点深度
溢出点
益阳期
易辉安山岩
易变辉石和普通辉石中Mg-Fe地质温度计
异源同形
异域成种
异养生物
异霞正长岩
异戊烷含量（气体体积百分比）
异戊二烯
异十六烷
异生类磷块岩
异射海绵纲
异乔木萜醇
异名
异裂
异亮氨酸
异价类质同象
异极矿
异极对称型
异黄酮
异化颗粒砂岩
异化颗粒灰泥石灰岩
异构烷烃
异庚烷值（2M+3M己烷）/（1顺3-+反3-+反2-环戊烷）
异丁烷含量（气体体积百分比）
异地
异常值
异常识别
异常结晶岩浆岩
异常高压微裂缝排烃模式
异常高压
异常高地层压力
异常高地层温度
异常分离
异常低压
异常低地层压力
异常低地层温度
异常
异层对比
异剥钙榴岩
义县期
钇兴安石
钇褐帘石
已进排烃门限
已发现油气资源丰度
已发现油气田平均储量规模（平均）
已发现油气储量丰度
乙烷含量（气体体积百分比）
乙烷
乙酸
乙苯
遗体埋藏
遗迹组构
遗迹学
遗迹相
遗迹化石
遗迹分异度
遗迹多样性
移位型转变
移动GIS
贻贝亚科
贻贝属
贻贝目
贻贝科
贻贝超科
仪器中子活化分析
仪器条件
仪器设备
伊普里斯期
伊普里斯阶
伊普尔期
伊利石-
伊利石
伊丁玄武岩
一致性试验
一致缩放
一氧化碳
一向延长晶
一维流
一级山脉
一级沙漠
一级盆地
一级结构
一级湖泊
一级河流
一级海洋
一级海峡
一级构造单元
一级断层
一级岛屿
一级1-0.75
一次离子
一次冲击变质作用
一般形
一般位置
一般剪切
一般轨迹
液压钻机
液相
液体绝缘体
液化作用
液化
页岩气
页岩储集空间
页岩储层
页岩-3
页岩
页面布局
叶缘叶面积分析法
叶相分析法
叶烷醇
叶蛇纹石+水镁石+透辉石+绿泥石
叶蛇纹石+镁橄榄石+透闪石+绿泥石
叶蛇纹石+镁橄榄石+透辉石+绿泥石
叶蛇纹石+菱镁矿+磁铁矿+白云石
叶蛇纹石+滑石+透辉石+绿泥石
叶蛇纹石
叶片状集合体
叶片状
叶绿素
叶绿矾
叶蜡石+绿泥石+硬绿泥石+白云母+石英
叶蜡石
叶黄素类
叶黄素
叶醇
叶卟啉
叶
野外验收
野外数据导入
野外手图组织与打开
野外手图数据交换
野外路线小结及自检
野外路线数据入库
野外核查
野外号码
要素服务2.0接口标准（修正版）
要素操作
遥感资料
遥感影像
遥感数据分类
遥感方法
遥感地质解译
遥感
姚家期
夭折裂谷盆地
夭折裂谷
样品准备
样品预处理方法
样品用量
样品信息
样品属性说明
样品前处理平台
样品前处理
样品名
样品管理
样品ID
氧指数
氧元素含量
氧元素
氧逸度计
氧逸度
氧芴
氧同位素组成
氧同位素分析样品材料
氧同位素分馏
氧同位素地质温度计
氧同位素地温剂(陨石)
氧同位素地层学
氧同位素标准
氧同位素比值
氧同位素δ值
氧同位素
氧气
氧化作用
氧化物和硫控制
氧化物和硅酸盐控制
氧化物
氧化还原过程
氧化还原反应
氧化还原电位
氧18
氧/碳比值O/C
氧
洋中脊玄武岩
洋流
洋底平原
洋底高原
洋底变质作用
洋岛玄武岩
洋岛
杨氏模量
阳起伟晶岩
阳起石
阳离子交换作用
阳离子交换树脂法
阳离子交换容量
阳离子地质温度计
阳离子地温计
阳离子
阳光
羊甾醇棕榈酸酯
羊毛固醇
羊虎沟期
雁列式正断层
雁列式褶皱系统
雁列式张节理
雁列式逆冲断层
雁列式剪节理
验证性因子分析
厌氧消化
厌氧生物相
演化图谱法
演化特征
演化古生态学
眼球状糜棱岩
掩逆断层
衍射
颜色外观参数
颜色深度
颜色模型
颜色机理
颜色反射率
颜色-2
颜色
盐跃层
盐与石膏层
盐水
盐敏程度
盐晶体生长
盐华
盐湖
盐度
研究指标、属性
研究区地理位置图
沿岸流
炎热沙漠气候
炎热草原气候
岩株
岩藻黄素
岩藻固醇
岩性组合
岩性组成
岩性圈闭1
岩性圈闭
岩性控制
岩性分布图
岩性反演
岩性地层圈闭
岩性地层带
岩性标志
岩性-1
岩性
岩心相分析
岩屑型风化壳
岩屑砂Lithoclasticsands
岩屑-1
岩屑
岩相古地理
岩相
岩土中的水
岩土体热物性参数
岩土体热物理性质
岩土体
岩土水理性质
岩土含水岩性划分
岩土含水性
岩土的空隙
岩体侵位
岩体单位
岩体刺穿圈闭
岩体
岩石组合
岩石总碳、硫分析
岩石中氮来源
岩石有机质分离与富集
岩石颜色
岩石压缩系数
岩石学特征
岩石学基本概念
岩石系列
岩石物理指标
岩石时间带
岩石热物性
岩石热裂解烃检测
岩石热裂解气相色谱质谱
岩石热解评价
岩石热解参数
岩石热解
岩石热导率
岩石圈伸展或软流圈上涌
岩石圈-软流圈边界
岩石圈热结构
岩石圈颈缩作用
岩石谱系单位等用色标准
岩石密度
岩石类型
岩石孔隙结构
岩石结构
岩石化学指标
岩石含油率
岩石含气量检测
岩石海岸
岩石干馏分析
岩石放射性生热率
岩石的三种磁性
岩石的磁性
岩石地球化学数据
岩石地球化学勘探
岩石地球化学方法学
岩石地球化学测试方法
岩石地球化学
岩石地层学
岩石地层特征描述
岩石地层时
岩石地层区域变化
岩石地层面
岩石地层记录位置
岩石地层分类命名方案
岩石地层分类
岩石地层对比
岩石地层单位典型地区
岩石地层单位地理范围
岩石地层单位
岩石地层
岩石导热率
岩石单元
岩石磁学数据
岩石磁学实验数据
岩石磁学基本概念
岩石磁性地层学
岩石/生物相控制
岩石
岩溶型通道
岩溶塌陷
岩溶水
岩溶热储
岩溶介质（双重、三重介质）
岩溶介质
岩溶含水层
岩墙群
岩墙
岩盆
岩漠沉积
岩脉状浅色体
岩脉填充角砾岩
岩流层
岩矿组分
岩矿石密度
岩颈
岩浆岩物性
岩浆岩的编图原则
岩浆岩
岩浆物理参数
岩浆热液循环
岩浆热1
岩浆热
岩浆矿床
岩浆的Th/U比值
岩浆地球化学
岩浆成因
岩浆爆发
岩脊
岩基
岩关期
岩盖
岩底
岩床
岩层界面的创建
岩（矿）石标本密度的测定
延展系
延展体
延展纪
延性
延限带
延迟指数
延迟给水(滞后给水)
氩-氩热年代学
氩-氩年龄
氩-氩定年
氩-氩等时线年龄
氩-氩测年法
氩40
氩38
氩37
氩36
氩
亚组/亚段
亚洲地质图1:5000000（2013)
亚种
亚智梁期
亚域
亚油酸
亚细亚-特提斯亚大区
亚细亚-特提斯区
亚系
亚铁磁性矿物
亚属
亚生物带
亚群
亚区
亚目
亚门
亚马孙亚区
亚麻酸
亚颗粒
亚科
亚晶粒
亚界
亚阶
亚碱性玄武岩
亚纲
亚丁斯克期
亚丁斯克阶
哑铃型
哑段
牙形刺
牙轮钻头
压性构造样式
压缩系数
压水实验
压实排油法
压实排烃模式
压实参数
压实/压溶作用
压实
压入法
压溶劈理
压溶构造
压扭作用
压扭盆地
压力影
压力因素
压力依赖性
压力系数
压力梯度
压力水头
压力释放
压力势
压力裾
压力传导系数(水力扩散系数)
压力传导系数
压力
压电性
压电效应
压差排油法
压（力）头
循环周期
循环速率
循环泵
血红素
血红蛋白
雪松烯
雪松粉属
雪球结构
学名
削蚀型不整合面
削截
选择工具
选择
选用地质地图和地理底图
选模
选层型
旋转轴
旋转角
旋回等时对比
旋回地层学基本信息
旋回地层学
旋回地层剖面位置
旋回地层结构
旋光性
旋磁比
悬挂泉(季节泉)
悬挂毛细水
玄武质霞石岩
玄武质似长石岩
玄武质蓝方岩
玄武质科马提岩
玄武质方沸石岩
玄武质粗面安山岩
玄武质玻璃
玄武质白榴岩
玄武岩石
玄武岩类
玄武岩的
玄武岩
玄武黑曜岩
玄武玢岩
玄武安山岩
徐庄期
虚拟现实
修正系数
修改的Brooks简约分析法
胸腺嘧啶
幸运期
幸运阶
杏仁状玄武岩
杏仁状集合体
杏仁构造
形状-1
形状(海底山)-1
形状
形态组合方式
形态-2
形态
形成温度
形成方式
形变纹
形变双晶
形变机理
形变
行政区划
行为习性分类
行列
星云状混合岩
星云状构造
星型沙丘
信息建模方法
新钻井数
新种
新增可容空间
新月形沙丘
新元古界
新元古代
新元古Ⅲ纪
新西兰亚域
新太古界
新太古代
新属
新生界
新生代应用
新生代
新模
新近系
新近纪
新疆维吾尔自治区地质图
新构造变形
新成体
新成结晶
新厂期
新厂阶期
新层型
锌叶绿矾
锌日光榴石
锌孔雀石
锌尖晶石亚族
锌黄长石
锌硅钠石
锌白云石
辛普森指数
辛涅缪尔期
辛涅缪尔阶
心滩沉积
榍杂花冈闪长岩
榍石-蓝晶石-斜长石-金红石地质压力计
榍石Zr地质温度计
榍石
谢家期
谢尔普霍夫期
谢尔普霍夫阶
泻湖
泄流
缬氨酸
鞋带状砂体
斜长岩类
斜长岩
斜长苏长岩
斜长石岩
斜长石亚族
斜长石地质温度计
斜长石+透长石+紫苏辉石+角闪石+石榴石
斜长石+角闪石+石英±铁铝榴石±透辉石
斜长石
斜长榴闪岩
斜黝帘石
斜向滑动断层
斜霞正长岩
斜碳镧钠石
斜坡脚
斜坡
斜钠钙石
斜率
斜铝矾
斜蓝铜矾
斜井
斜碱沸石
斜煌岩
斜硅镁石
斜硅钙石
斜锆石
斜钙沸石
斜缝
斜方钠锆石
斜方铝矾
斜方辉石岩
斜方辉石苏长岩
斜方辉石-尖晶石地质温度计
斜方辉石活度模型
斜方辉石-黑云母地质温度计
斜方辉石地质温度计
斜方辉石Ca温度计
斜方辉石Al地质压力计
斜方辉石+石榴石+黑云母+正长石+石英
斜方氟铝矾
斜方矾石
斜导数
斜层理
协调褶皱
楔状交错层理
楔叶纲
楔积
楔顶沉积区
楔蚌属
校准
肖维纳检验法
肖钠长石双晶律
小嘴贝亚门
小嘴贝目
小嘴贝纲
小圆货贝目
小圆货贝纲
小岩体
小型油藏
小型无脊椎动物
小生境
小沙原
小三角洲沉积
小裂缝
小孔细喉型
小克罗登介亚目
小间断
小环礁
小波域去噪法
小波痕
小波分析
小波变换多尺度分解法
小比例尺
销售费用比例
消费者
消除
逍遥期
橡皮擦
橡胶
像素图
像空间算法
巷道排水
向斜组成部分
向斜形态
